Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00ANGQ,E05000264,Town,12.5,81.7,79.0,0.04,77.6,4.5,8.9,36.3,3.0,4.3,28.2,11.3
00ANGR,E05000265,Wormholt and White City,6.6,66.9,73.9,0.41,66.5,8.7,12.2,43.1,5.6,9.7,50.3,16.3
00APGA,E05000266,Alexandra,6.2,80.3,76.1,-0.24,114.8,3.3,15.1,20.7,2.8,2.4,10.7,9.7
00APGB,E05000267,Bounds Green,8.9,81.3,75.6,0.30,108.2,6.5,11.2,46.3,4.7,6.6,36.6,13.7
00APGC,E05000268,Bruce Grove,9.9,81.9,71.6,0.45,133.8,9.1,10.4,51.7,8.1,11.0,41.9,17.5
00APGD,E05000269,Crouch End,9.6,74.9,76.0,-0.17,82.5,3.3,11.5,27.7,2.8,2.4,13.9,8.3
00APGE,E05000270,Fortis Green,9.0,80.7,76.7,-0.30,68.0,3.5,15.8,18.6,3.0,3.5,14.3,9.5
00APGF,E05000271,Harringay,8.2,77.6,74.6,0.37,98.8,6.7,10.3,51.4,6.2,6.4,35.8,14.2
00APGG,E05000272,Highgate,7.9,76.2,76.3,-0.36,80.0,3.5,15.2,12.9,2.8,2.8,14.4,8.9
00APGH,E05000273,Hornsey,8.4,72.5,76.2,0.50,89.5,7.9,11.7,44.6,6.5,7.9,36.2,12.2
00APGJ,E05000274,Muswell Hill,8.3,71.1,76.2,-0.09,109.3,3.1,14.1,23.6,2.6,2.4,11.6,9.3
00APGK,E05000275,Noel Park,12.5,74.2,76.8,0.66,120.4,9.5,11.1,54.0,7.0,9.8,47.0,18.5
00APGL,E05000276,Northumberland Park,7.5,73.1,73.1,0.74,131.5,11.4,10.9,58.1,10.5,13.5,49.6,17.5
00APGM,E05000277,St Ann's,8.3,71.9,75.7,0.64,90.0,7.7,14.3,39.7,5.5,6.8,41.3,15.6
00APGN,E05000278,Seven Sisters,7.4,69.1,76.4,0.39,96.6,8.3,10.7,45.0,6.2,8.6,32.5,15.5
00APGP,E05000279,Stroud Green,7.9,68.5,75.6,0.29,105.9,6.1,10.6,37.0,4.4,5.3,27.1,12.3
00APGQ,E05000280,Tottenham Green,8.6,64.7,73.0,0.66,133.6,8.8,10.7,58.8,7.2,9.6,45.4,15.7
00APGR,E05000281,Tottenham Hale,9.3,69.7,73.2,0.45,142.6,8.4,9.9,61.3,7.3,10.8,45.5,16.1
00APGS,E05000282,West Green,6.7,84.3,74.6,0.43,103.6,9.0,12.3,49.6,6.9,9.2,44.3,15.6
00APGT,E05000283,White Hart Lane,11.9,56.4,71.3,0.72,153.2,10.3,12.2,55.6,6.7,13.0,52.2,18.1
00APGU,E05000284,Woodside,8.8,75.4,74.8,0.44,88.8,8.4,11.8,48.1,6.4,8.5,43.5,15.7
00AQFY,E05000285,Belmont,2.5,57.0,71.4,-1.02,68.2,4.0,19.5,15.8,2.5,2.7,16.3,13.8
00AQFZ,E05000286,Canons,2.7,64.6,71.4,-0.92,72.8,3.6,28.3,18.6,2.6,2.9,17.8,12.1
00AQGA,E05000287,Edgware,4.8,63.5,73.5,-0.64,63.4,5.6,17.4,30.0,3.2,4.3,26.9,15.0
00AQGB,E05000288,Greenhill,6.0,74.4,73.8,-0.23,112.8,6.0,12.8,31.9,3.7,5.2,29.2,11.3
00AQGC,E05000289,Harrow on the Hill,4.4,71.3,72.0,-0.89,57.2,4.8,18.6,20.3,2.3,4.0,21.6,11.2
00AQGD,E05000290,Harrow Weald,4.1,70.6,70.2,-0.64,69.0,5.9,22.3,24.4,3.5,4.9,26.1,13.7
00AQGE,E05000291,Hatch End,3.1,65.3,69.3,-1.01,86.0,3.5,24.8,13.9,2.1,2.9,15.5,11.9
00AQGF,E05000292,Headstone North,2.9,71.5,69.5,-1.20,71.5,2.6,21.3,14.2,1.8,2.1,12.9,12.2
00AQGG,E05000293,Headstone South,5.0,76.6,70.7,-0.92,68.9,3.9,16.4,24.8,2.8,3.3,21.9,11.5
00AQGH,E05000294,Kenton East,5.9,78.1,74.0,-0.70,66.9,5.3,16.1,37.9,3.0,3.9,24.8,15.5
00AQGJ,E05000295,Kenton West,3.8,82.5,70.5,-1.00,89.9,3.8,18.7,25.1,2.8,2.2,19.0,14.3
00AQGK,E05000296,Marlborough,6.9,76.1,71.2,-0.38,99.5,6.1,15.0,32.2,4.0,5.9,32.7,13.4
00AQGL,E05000297,Pinner,2.7,62.8,66.7,-0.76,67.4,4.6,25.5,13.6,2.4,3.8,19.1,11.4
